You are an SRE assistant. Read the incident memo and answer with exactly 6 concise bullets: 5 factual bullets and 1 mitigation recommendation with rationale.

Incident memo:
- Service: IVY inference gateway
- Primary region: ap-south-1
- Backup region: us-east-1
- Release train: r2026.04
- SLA target: 99.95%
- Symptom: latency spikes every 17 minutes during compaction
- User impact: p95 completion latency rises while p50 stays mostly stable
- Current mitigation: stagger compaction windows and cap merge fanout
- Constraint: no schema changes this quarter
- Watch items: GPU memory pressure, queue depth, prompt prefill time, decode throughput

Question: summarize the incident facts and recommend the safest next mitigation.

Detailed context (ivy-gateway shards, ap-south-1 primary us-east-1 standby, r2026.04.N, compaction latency spike, no schema changes, prompt prefill first, decode stable, cite facts separate obs from mitig no speculation):
Service shard: ivy-gateway-1 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.1 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-2 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.2 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-3 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.3 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-4 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.4 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-5 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.5 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-6 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.6 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-7 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.7 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-8 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.8 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-9 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.9 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-10 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.10 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-11 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.11 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-12 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.12 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-13 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.13 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-14 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.14 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-15 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.15 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-16 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.16 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-17 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.17 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-18 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.18 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-19 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.19 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
